Sender,Subject,Date-Time,Content,Frequency
owner-independent-list@free-market.net,"THE LIGHTHOUSE: October 10, 2000","Tue, 10 Oct 2000 08:04:00 -0700 (PDT)","THE LIGHTHOUSE
""Enlightening Ideas for Public Policy...""
VOL. 2, ISSUE 39
October 10, 2000

Welcome to The Lighthouse, the e-mail newsletter of The Independent
Institute, the non-partisan, public policy research organization
<http://www.independent.org>. We provide you with updates of the
Institute's current research publications, events and media programs.

-------------------------------------------------------------

IN THIS WEEK'S ISSUE:
1. Holding Bureaucrats Personally Accountable: A 1st Amendment Victory
2. The Independent Review: Fall Issue Now Available
3. Public Health vs. The Nanny State? -- Next Independent Policy
Forum (10/26/00)

-------------------------------------------------------------

HOLDING BUREAUCRATS PERSONALLY ACCOUNTABLE: A 1st Amendment Victory

The legal doctrine of ""sovereign immunity"" -- and its modern cousin,
""qualified immunity"" -- has historically allowed government
bureaucrats to escape full accountability for misdeeds they have
perpetrated under the guise of government ""policy."" Thus, a recent
decision by the Ninth Circuit Court of Appeals -- ruling that a group
of government bureaucrats may be held personally liable for
outrageous constitutional violations -- is news worthy of celebration.

The facts of the case attest to the need for strong checks on
government power. Three Berkeley, Calif., residents had campaigned
against a proposed homeless shelter in their neighborhood. At the
behest of local ""housing rights"" activists, who said the anti-shelter
campaign was discriminatory and violated the Fair Housing Act, the
U.S. Department of Housing and Urban Development (HUD) got into the
act. HUD officials demanded interviews with the three anti-shelter
neighbors, told their neighbors they had violated the law, and
ordered them to give HUD all materials -- including the names,
addresses and phone numbers of other opponents of the shelter -- that
they had collected for their campaign. To the ""Berkeley Three,"" HUD's
harassment violated their freedom of speech. To the appeals court,
""qualified immunity"" of government bureaucrats did not apply here;
the Berkeley Three may proceed with their First Amendment lawsuit
against the HUD officials and seek monetary damages.

This ruling, although unusual by today's standards, harks back to
another early legal tradition: the idea that citizens can hold
government officials personally liable for improper conduct. In 1763,
John Wilkes, a member of Britain's parliament, was the subject of an
outrageous search and seizure warrant issued by Secretary of State
Lord Halifax, after Wilkes published an anonymous attack on the
government. Wilkes then sued Halifax and other officials and was
awarded a sum comparable to $20 million today. Americans were so
enraptured with this refutation of unrestrained government power that
they made Wilkes a hero and followed in his footsteps, suing
government officials for unreasonable search and seizures.

Since the 19th century, however, this common-law tradition has nearly
withered away. The creation of the exclusionary rule has replaced
Wilkes's remedy with an inferior one. While the exclusionary rule
brings some satisfaction to criminals who are the subject of
unreasonable searches and seizures, it does nothing for the innocent.
Furthermore, the 20th century has seen the rise of the doctrine of
""qualified immunity,"" which the U.S. Supreme Court explains ""seeks to
ensure that [government] defendants 'reasonably can anticipate when
their conduct may give rise to liability,' by attaching liability
only if '[t]he contours of the right [violated are] sufficiently
clear that a reasonable official would understand that what he is
doing violates that right.'""

The Ninth Circuit's recent ruling that HUD officials were not acting
reasonably when they violated the First Amendment rights of the
Berkeley Three is refreshing because it rekindles the idea that civil
liability can be a restraint on government power. In an era when
bureaucratic violations of the rule of law have become routine, it is
an idea long overdue.

For the Ninth Circuit's opinion, see
http://www.independent.org/tii/lighthouse/LHLink2-39-1.html.
For a press release by supporters of the Berkeley Three, the Center
for Individual Rights, see ""HUD Officials Declared Personally
Liable..."" at
http://www.independent.org/tii/lighthouse/LHLink2-39-2.html.

For more information on bureaucratic accountability, see the
Independent Institute book CUTTING GREEN TAPE: Toxic Pollutants,
Environmental Regulation and the Law, edited by Richard Stroup and
Roger Meiners, at
http://www.independent.org/tii/lighthouse/LHLink2-39-3.html.

For accountability in law enforcement, see the Independent Institute
book TO SERVE AND PROTECT: Privatization and Community in Criminal
Justice, by Bruce Benson, at
http://www.independent.org/tii/lighthouse/LHLink2-39-4.html.

For information on lack of bureaucratic accountability and other
causes of government failure, see the Independent Institute book
BEYOND POLITICS: Markets, Welfare, and the Failure of Bureaucracy, by
William C. Mitchell and Randy T. Simmons, at
http://www.independent.org/tii/lighthouse/LHLink2-39-5.html.

-------------------------------------------------------------

THE INDEPENDENT REVIEW: Fall Issue Now Available

* Why did urban rioters of the 1960s target small businesses -- and
why have so many commentators rationalized the mob violence?
* Are some school-choice proposals more promising than others?
* Have economists been too quiet on Medicare reform?
* Is taxation morally defensible?
* How did racism affect employment on the early railroads?
* Why do government bureaucracies in general, and public education in
particular, produce such deplorable outcomes?
* Why did Reaganomics turn out as it did?

These topics and more are discussed in the Fall 2000 issue of THE
INDEPENDENT REVIEW: A Journal of Political Economy, the Independent
Institute's 160-page quarterly. Contributors to the fall issue
include Jonathan Bean, John Merrifield, Robert Helms, Edward Feser,
David Bernstein, Hans Sherrer, James Payne, Alan Reynolds, Paul Craig
Roberts, Jennifer Roback Morse, Jeffrey Rogers Hummel, Philip
Perlmuter, and others.

For a summary and links to selected articles (pdf) and book reviews (html), 
see
http://www.independent.org/tii/lighthouse/LHLink2-39-6.html.

To recommend THE INDEPENDENT REVIEW to your library, please see
http://www.independent.org/tii/lighthouse/LHLink2-39-7.html.

-------------------------------------------------------------

PUBLIC HEALTH vs. THE NANNY STATE? -- Next Independent Policy Forum (10/26/00)

Barely a day goes by without some news of the latest public health
""threat."" Serious health hazards, we are told, lurk around every
corner -- in water supplies, air, soil, beverages, fast food,
second-hand smoke, cellular phones, and food irradiation, just to
name a handful. And yet, Americans today live longer than ever! Are
markets and private decision-making providing the answers? Or are
these dangers real, immediate, and a legitimate mandate for
government control? Can we reduce or eliminate health risks without
government dictates? How does politics distort perceptions about
public health? Will Americans succumb to or rebel against the growing
Nanny State's neo-Puritanism and attack on individual choice and
responsibility? JACOB SULLUM and THOMAS DiLORENZO will discuss these
timely and important issues.

SPEAKERS:

      - Jacob Sullum (Senior Editor, Reason magazine; Author, FOR YOUR
OWN GOOD: The Anti-Smoking Crusade and the Tyranny of Public Health)

      - Thomas DiLorenzo (Professor of Economics, Loyola College of
Maryland; Co-author, FROM PATHOLOGY TO POLITICS: Public Health in
America)

WHEN:
       Thursday, October 26, 2000
       Reception and book signing: 6:30 p.m.
       Program: 7:00 - 8:30 p.m.

WHERE:
       The Independent Institute Conference Center
       100 Swan Way
       Oakland, CA 94621-1428
       For a map and directions, see
       http://www.independent.org/tii/tii_info/about.html#map

TICKETS:
       $30.00 per person: includes one copy of either Jacob Sullum's
book, FOR YOUR OWN GOOD, or Thomas DiLorenzo's book, FROM PATHOLOGY
TO POLITICS. Admission without book is $10 per person ($7 for
Independent Institute Associate Members)

About FOR YOUR OWN GOOD: The Anti-Smoking Crusade and the Tyranny of
Public Health:

""Sullum is meticulously logical, and his conclusions are implicit in
everything he argues. FOR YOUR OWN GOOD has made us think about
totalitarianism in this most unlikely context.""
      - NEW YORK TIMES

""Intriguing and worthwhile, this book marshals an impressive array of
facts and arguments. Thoughtful and articulate.""
      - NEW ENGLAND JOURNAL OF MEDICINE

About FROM PATHOLOGY TO POLITICS: Public Health in America:

""FROM PATHOLOGY TO POLITICS argues that public health has become a
bureaucracy that feels the need to perpetuate itself by expanding
into new areas that are more often than not, just plain 'politically
correct.'""
      - WALL STREET JOURNAL

For more information about this event, see
http://www.independent.org/tii/lighthouse/LHLink2-39-8.html.

-------------------------------------------------------------

If you enjoy receiving THE LIGHTHOUSE ... please help us support it.

Your supporting Independent Associate Membership enables us to reach
thousands of other people. So, please make a contribution to The
Independent Institute. See
http://www.independent.org/tii/lighthouse/LHLink2-39-9.html to
donate, or contact Ms. Priscilla Busch by phone at 510-632-1366 x105,
fax to 510-568-6040, email to <PBusch@independent.org>, or snail mail
to The Independent Institute, 100 Swan Way, Oakland, CA 94621-1428.
All contributions are tax-deductible.  Thank you!

-------------------------------------------------------------

For previous issues of THE LIGHTHOUSE, see
http://www.independent.org/tii/lighthouse/LHLink2-39-10.html.

-------------------------------------------------------------

For information on books and other publications from The Independent
Institute, see
http://www.independent.org/tii/lighthouse/LHLink2-39-11.html.

-------------------------------------------------------------

For information on The Independent Institute's upcoming Independent
Policy Forums, see
http://www.independent.org/tii/lighthouse/LHLink2-39-12.html.

-----------------------------------------------------------------

To subscribe (or unsubscribe) to The Lighthouse, please go to
http://www.independent.org/subscribe.html, choose ""subscribe"" (or
""unsubscribe""), enter your e-mail address and select The Lighthouse.
Or, either send an e-mail message to
independent-list-request@free-market.net with the words ""unsubscribe""
in the body of the message, or e-mail independent@free-market.net and
ask to be unsubscribed.

Copyright , 2000 The Independent Institute
100 Swan Way
Oakland, CA 94621-1428
(510) 632-1366 phone
(510) 568-6040 fax
info@independent.org
http://www.independent.org","[('The', 18), ('Independent', 17), ('http', 16)]"
"""Vikram Bhat"" <vbhat@tatahousing.com>","from: Vivek Menezes, Manager, Mktg & Sales","Wed, 11 Oct 2000 08:59:00 -0700 (PDT)","October 11th 2000.

From : Vivek Menezes

To : Mr. Kenneth L. Lay (klay@enron.com)

Chairman & CEO,=20

Enron Corp.

Dear Mr. Lay,

Further to my emails dated 22/2/2000 & 14/6/2000 introducing Tata Housing  =
as=20
a premium real estate developer in India, and specifically, our commercial =
=20
complex Technopolis KnowledgePark at Andheri (E), Mumbai. We have been give=
n=20
to  understand that Enron have acquired an additional space in Kamla Mills=
=20
Compound.  We were surprised to note that Enron did not consider Technopoli=
s=20
KnowledgePark  inspite of it being a ready to move in building with all the=
=20
facilities required  for a good Call Center.

A few of these facilities being -

?High speed (100 MBPS) data network with switched interconnection  between=
=20
offices.
?Provision for ISDN lines.
?5000 line MTNL exchange on campus
?Power from Tata Electric Cos, which is 20% cheaper than the  Government=20
supply.
?In addition, a good quality restaurant and 24 hours ATM  facility.
?Central Air-conditioning & Building Automation System.

All these facilities and more were explained to Mr. Edward de Valcourt, =20
Project Director Communications, Enron Corp., when he visited Technopolis =
=20
KnowledgePark on 16/6/2000. Inspite of that, we have once again not been =
=20
considered. I would like to take this opportunity to inform you that we =20
currently have approximately 1,00,000 sq.ft. of space available at=20
Technopolis  KnowledgePark. We are also in the process of constructing the=
=20
IInd Phase in the  same complex which is approximately 60,000 sq.ft. and ca=
n=20
be made entirely  available to you, if required.

Further, we have another building of approximately 1,00,000 sq.ft. located =
=20
strategically at Kanjurmarg. This too could be ideal for your requirement.=
=20
We  would also like to inform you that Tata Housing has a large land bank a=
nd=20
can  offer properties to Enron for Call Centres across the country.=20

We request you to once again look into the same and revert to us at the =20
earliest.

Thanking you

Yours sincerely,

TATA HOUSING DEVELOPMENT CO. LTD.

Vivek Menezes

Manager =01) Marketing & Sales

cc : Mr. Sanjay Bhatnagar =01) CEO

??? : Mr. Wade Cline =01) COO

??? : Mr. P. Sreekumar

??? : Mr. Hemant Luthra

??? : Mr. Edward de Valcourt=01)emailed  at(Edward.de.Valcourt@enron.com)

????? Enron India Pvt. Ltd.

56, Maker Chambers VI

Nariman Point

Mumbai =01) 400 021.","[('Enron', 6), ('We', 5), ('KnowledgePark', 4)]"
"""Tata Housing - R.O. North Mumbai"" <thdcronm@bol.net.in>","Attn : Mr. Kenneth L. Lay - Technopolis KnowledgePark, Tata Housing
 Dev.Co.Ltd..","Wed, 11 Oct 2000 10:30:00 -0700 (PDT)", - Happy99.exe,[]
"""Fred Wolgel"" <Fwolgel@azurix.com>",Enron Body Shop,"Thu, 24 Aug 2000 11:25:00 -0700 (PDT)","Dear MaryAnn,

I was very disappointed to learn today that the Enron Body Shop will be
raising its rates to $25 per month.  While this may be in line with some
benchmarking study, one would hope that Enron would seek to outperform its
peers, given its goal to be rated #1 as best place to work.  Our cross-town
competitor Williams, where I worked for almost 12 years, has a facility that
is at least as good as Enron's, and there is no charge whatsoever.  Why
charge for the use of a facility that promotes Wellness?

I hope you reconsider this increase, but at a minimum provide a lower rate
for the occasional user such as myself.  Given my busy schedule I am lucky
to get there a few times per month, and would happily pay the greater of $5
per visit or the $25/month fee.  A $25/month fee will simply discourage
occasional users.

Please terminate my membership, effective September 1.   I hope that I am
not alone in voicing my unhappiness with this increase.

Sincerely,


Fred Wolgel
713-646-7557 (office)
713-299-6551 (mobile phone)
630-604-9831 (fax)
713-661-7334 (home)
fwolgel@azurix.com
Mailing Address:
Azurix
333 Clay Street, Suite 1000
Houston, TX  77002-7361
","[('I', 6), ('Enron', 3), ('hope', 3)]"
"""Tata Housing - R.O. North Mumbai"" <thdcronm@bol.net.in>","Attn : Mr. Kenneth L. Lay - Technopolis KnowledgePark, Tata Housing
 Dev.Co.Ltd..","Wed, 11 Oct 2000 10:35:00 -0700 (PDT)","October 11th 2000.

From : Vivek Menezes
To   : Mr. Kenneth L. Lay (klay@enron.com)
       Chairman & CEO,
       Enron Corp.

Dear Mr. Lay,

Further to my emails dated 22/2/2000 & 14/6/2000 introducing Tata Housing a=
s
a premium real estate developer in India, and specifically, our commercial
complex Technopolis KnowledgePark at Andheri (E), Mumbai.  We have been
given to understand  that Enron have acquired an additional space in  Kamla
Mills Compound.  We were surprised to note that Enron did not consider
Technopolis KnowledgePark inspite of it being a ready to move in building
with all the facilities required for a good Call Center.

A few of these facilities being -

_ High speed (100 MBPS)  data network with switched interconnection
      between offices.
_ Provision  for  ISDN lines.
_ 5000 line MTNL  exchange on campus
_ Power from Tata Electric Cos, which is 20% cheaper than the Government
      supply.
_ In addition,  a good quality restaurant and 24 hours ATM facility.
_ Central Air-conditioning & Building Automation System.

All these facilities and more were explained to Mr. Edward de Valcourt,
Project Director Communications, Enron Corp., when he visited Technopolis
KnowledgePark on 16/6/2000.  Inspite of that, we have once again not been
considered.  I would like to take this opportunity to inform you that we
currently have approximately 1,00,000 sq.ft. of space available at
Technopolis KnowledgePark.  We are also in the process of constructing the
IInd Phase in the same complex which is approximately 60,000 sq.ft. and can
be made entirely available to you, if required.

Further, we have another building of approximately 1,00,000 sq.ft. located
strategically at Kanjurmarg.  This too could be ideal for your requirement.
We would also like to inform you that Tata Housing has a large land bank an=
d
can offer properties to Enron for Call Centres  across the country.
We request you to once again look into the same and revert to us at the
earliest.

Thanking you
Yours sincerely,
TATA HOUSING DEVELOPMENT CO. LTD.



Vivek Menezes
Manager =01) Marketing & Sales


cc  :   Mr. Sanjay Bhatnagar =01) CEO
     :   Mr. Wade Cline =01) COO
     :   Mr. P. Sreekumar
     :   Mr. Hemant Luthra
     :   Mr. Edward de Valcourt =01) emailed at Edward.de.Valcourt@enron.co=
m
         Enron India Pvt. Ltd.
         56, Maker Chambers VI
         Nariman Point
         Mumbai =01) 400 021.","[('Enron', 6), ('We', 5), ('Technopolis', 4)]"
"""Davis, Elizabeth"" <Elizabeth.Davis@COMPAQ.com>",Financial Analysts' Reports for 10.11.00,"Wed, 11 Oct 2000 02:24:00 -0700 (PDT)","Please open the attached file to read the complete text of the following
items:

07:21AM EDT 11-OCT-00 UBS WARBURG (US) (CHARLIE WOLF) AAPL CPQ EMC GTW
2000/3 PREVIEW

08:21AM EDT 11-OCT-00 SALOMON SMITH BARNEY (JOHN C. DEAN) SEG HDD
SEG: UPSIDES QUARTER ON STRONG DEMAND FROM ENTERPRISE CUSTOMERS

09:14AM EDT 11-OCT-00 BOFA MONTGOMERY (WHITTINGTON, RICHARD L) INTC
MICROPROCESSOR FORUM

05:49AM EDT 11-OCT-00 MERRILL LYNCH (J.OSHA) AMD
ADVANCED MICRO:AMD CALL

12:18PM EDT 10-OCT-00 BUCKINGHAM RESEARCH GROUP  (STEVENS, JAY P.)
HWP-STRONGBUY-STRUCTURE OF PWC DEAL COULD CHANGE;4Q APPEARS ON TRACK

 <<10.11.00 Analyst Reports.doc>>

The analyst reports provided are reports prepared by independent analysts
who monitor and track Compaq's performance.  These reports are not prepared
by or at the direction of Compaq and as a result, Compaq is not endorsing or
verifying the information contained in these reports or endorsing any of
these analysts.   These reports are being provided solely for business
reasons and as a result, do not distribute these reports to other
individuals outside of Compaq.  If other individuals are interested in
receiving the reports provided herein, please contact Elizabeth Davis in
Compaq's Investor Relations Department at elizabeth.davis@compaq.com.


Elizabeth Davis
Compaq - Investor Relations
Research Analyst
281-518-4289





 - 10.11.00 Analyst Reports.doc","[('reports', 7), ('Compaq', 6), ('EDT', 5)]"
"""Sain, Barbara"" <Barbara.Sain@COMPAQ.com>",Telephonic Board Meeting,"Wed, 11 Oct 2000 03:47:00 -0700 (PDT)","There will be a telephonic Board meeting Friday, October 13, beginning at
8:00 a.m. CDT (Houston time) to discuss Michael's compensation and executive
employment agreement.  A term sheet will be sent out this afternoon or
tomorrow morning.  Details for the call follows:

Friday, October 13
8:00 a.m. CDT (Houston time)

Call in number for International and Compaq campus participants:
281-518-9999

Call in number for all other participants:      888-909-5939

Passcode:  5670541  followed by the # sign
Confirmation no.:  16633144

Barbara Sain
Law Department
(p) 281-514-6021
(f) 281-518-6807
 ","[('October', 2), ('number', 2), ('participants', 2)]"
"""Sain, Barbara"" <Barbara.Sain@COMPAQ.com>",Third Quarter Earnings Conference Call,"Wed, 11 Oct 2000 04:54:00 -0700 (PDT)","Attached is an invitation to participate in Compaq's third quarter earnings
conference call on October 24, 2000.

Barbara Sain
Law Department
(p) 281-514-6021
(f) 281-518-6807



 - Board Invitation.doc","[('October', 1), ('Sain', 1), ('Barbara', 1)]"
Michael Mann,UTC Sales Call,"Wed, 11 Oct 2000 05:07:00 -0700 (PDT)","At UTC's request, yesterday Mike Jackson and I met with Kent Brittan, VP, 
Global Sourcing, and members of his sourcing group.  As you remember, we 
first met Kent when Tom White, Dan Leff, Harold Buchanan and I called on him 
two years ago.  At the time, we presented an early version of a fully bundled 
energy outsource in partnership with Fluor Daniel and a local real estate 
management firm.

Over the last two years, UTC attempted various energy procurement strategies, 
failing to execute any.  

Brittan was very pleased with the content of our revised proposal yesterday, 
and told us he would be taking the revised partnership strategy we discussed 
directly to George David, CEO.  

Brittan will also be taking the preliminary concept to UTC Corporate 
Treasury, to gain its buy in on the financing aspects of the deal required to 
support the demand side management infrastructure investments it so 
desperately needs to affect the energy  consumption reduction to which David 
committed two years ago.

Barring a problem there, it appears we have finally engaged UTC in an 
exclusive negotiating relationship that would yield a large scale outsource 
of energy supply and demand side investment operations in all the UTC 
companies, excepting Carrier.    Carrier continues to insist it be treated 
separately, and Brittan has decided to carve it out, rather than hold up the 
entire deal.  I think that strategy is part of what he will be speaking to 
David about.

I requested, and Brittan agreed, that Karl Kropic (COO) be the executive 
sponsor.

Mike Jackson who has worked on and off with UTC over the past 18 months will 
be the lead Originator for EES moving forward.","[('UTC', 6), ('Brittan', 5), ('energy', 4)]"
UN Wire | UN Foundation <unwire-listadmin@client-mail.com>,UN Wire Alert -- 11 October 2000,"Wed, 11 Oct 2000 05:03:00 -0700 (PDT)","UN WIRE
An Independent News Briefing about the United Nations
-------------------------------------------------------
Wednesday, 11 October, 2000 - http://www.unfoundation.org

Today's UN WIRE Stories

UN AFFAIRS
 1 SECURITY COUNCIL: Sudan Loses Heated Race For Seat; More

HEALTH
 2 POLIO: UN To Immunize 70 Million African Children
 3 HIV/AIDS: South African Doctor Blasts Mbeki Stance
 4 PLACEBOS: Medical Researchers Alter Guidelines

WOMEN, CHILDREN AND POPULATION
 5 AMERICAS: Children's Conference Focuses On HIV/AIDS
 6 CENTRAL AMERICA: NGO Seeks Action To Prevent Child
Exploitation
 7 EAST TIMOR: UNIFEM Lobbies For Women's Role In Rebuilding

ENVIRONMENT
 8 CLIMATE CHANGE: Enviros Oppose US-Backed Kyoto Language
 9 CONSERVATION: Crisis Highlights Need For New Strategy
 10 DISASTERS: 280,000 Nicaraguans Live In Vulnerable
Conditions; More

ECONOMICS, TRADE AND DEVELOPMENT
 11 DEBT RELIEF: China To Cancel $1 Billion In African Debt
 12 INDONESIA: British Minister Confident Aid Will Continue
 13 EAST TIMOR: Talks Open On Water Resource Treaty
 14 TELECOMMUNICATIONS: US Rejects ITU Guidelines

HUMANITARIAN AID AND FOOD SECURITY
 15 NICARAGUA: WFP Notes Hunger's Effects
 16 ETHIOPIA-ERITREA: Charity Begins Landmine Survey

HUMAN RIGHTS, JUSTICE AND DEMOCRACY
 17 YUGOSLAVIA: Kouchner Warns Of Obstacles Ahead In Kosovo
 18 EAST TIMOR: UN Asks Indonesia To Hand Over Militia Leader;
More

CRIME, CORRUPTION AND DRUGS
 19 ASIA: Countries Convene Meeting On Drug Initiative

PEACEKEEPING AND SECURITY
 20 MIDDLE EAST: Annan Hopeful As Peace Negotiations Continue
 21 SIERRA LEONE: Security Council Reviews Peacekeeping Mission

GET THE FULL SCOOP

These stories and the complete issue of today's UN Wire
can be found on the Web at http://www.unfoundation.org.
The Web version includes hot-links to the complete text
of cited articles, a fully searchable archive and easy
access to recent issues.

ACCESS RECENT ISSUES at
http://www.unfoundation.org/unwire/archives/index.cfm

UN Wire is a free service sponsored by the United Nations
Foundation and its sister organization, the Better World
Fund, which are dedicated to supporting United Nations
efforts on behalf of the environment, population stabilization
and children's health.  UN Wire is produced independently by
National Journal Group (http://www.nationaljournal.com).  For
the latest information and updates on UN Foundation activities,
visit us on the web at http://www.unfoundation.org.
--------------------------------------------------------------
Copyright 2000 National Journal.

Telephone: (703) 518-8759
Fax:       (703) 519-6377
Email:     unwire@unfoundation.org

Editor in Chief:  Steve Hirsch
--------------------------------------------------------------

To unsubscribe from the UN Wire Notification Service, go to
http://www.unfoundation.org/unwirelogin/unf_listadmin.cfm

Questions, concerns and comments can be sent to
unwire@unfoundation.org.

UN news and other submissions should be directed to
unwire-submit@unfoundation.org.

You are currently subscribed to unfoundation-unwire as:
klay@enron.com

To subscribe, visit the UN Wire Web site at:
http://www.unfoundation.org/unwirelogin/unf_listadmin.cfm
and enter your email address. Registration is required.

To unsubscribe send a blank email to the address below:
leave-unfoundation-unwire-290701M@lists.unfoundation.org
--------------------------------------------------------------","[('UN', 12), ('To', 7), ('http', 7)]"
Barbette_Watts@i2.com,i2 Board of Directors Meeting,"Wed, 11 Oct 2000 05:22:00 -0700 (PDT)","Hi Rosalee,

Just wanted to let you know that I received your voice mail message saying
that Mr. Lay will not be attending the October 23, i2 Board of Directors
meeting.  Thanks for getting back to me.

Barbette Joy Watts
Executive Assistant to David Becker
One i2 Place, 3rd Floor
469-357-3460 (Direct)
469-357-6769 (Fax)
barbette_watts@i2.com","[('Hi', 1), ('October', 1), ('Executive', 1)]"
forrester@forrester.com,"Forrester Executive Strategy Forum, November 2000","Wed, 11 Oct 2000 06:07:00 -0700 (PDT)","By now you've received an invitation to attend Forrester's Executive
Strategy Forum, November 8-10, 2000, at The Westin Copley Place in
Boston, Mass.

This annual Forum showcases Forrester's eBusiness strategy research.
During the two-day event for senior executives, we'll unveil our
cutting-edge research on how companies can transform themselves to win
in the Internet economy.  Get all the details and register online:

http://www.forrester.com/ER/Events/Upcoming/Overview/0,1550,122,FF.html

Confirmed industry speakers include:
*  G. Richard Wagoner Jr., President and Chief Executive Officer,
General Motors
*  Marc Andreessen, Chairman and Co-founder, Loudcloud
*  Louise Kitchen, President and Chief Operating Officer, EnronOnline
*  David Campbell, Ph.D., Smith Richardson Senior Fellow, Center for
Creative Leadership
*  Donald Paul, VP, Technology and Environmental Affairs, Chevron
*  Daniel Leemon, Executive Vice President and Chief Strategy Officer,
The Charles Schwab Corporation
*  Rohan Champion, Chairman and Co-founder, eTime Capital

For more information, please call our Events line at +1 888/34-FORUM
(343-6786) or +1 617/613-5905. Seats at this event are limited, so
register online today:

http://www.forrester.com/ER/Events/Upcoming/Overview/0,1550,122,FF.html

Please forward the following information to colleagues who you think
would benefit from Forrester's research and events.

To subscribe to Forrester's Events update, please send an email to
listserv@list.forrester.com with the following command in the body of
your message: subscribe Forrester-event <First Name> <Last Name>. For
example: subscribe Forrester-event Jane Doe.

If you wish to unsubscribe, simply reply to this email with the word
""remove"" in the body.

Forrester Events
events@forrester.com
For more information contact us at:
+1 888/343-6786 or +1 617/613-5905
***************************************************************************","[('Forrester', 5), ('subscribe', 3), ('information', 3)]"
Barbette_Watts@i2.com,Sandy Tungare's New Assistant,"Wed, 11 Oct 2000 08:48:00 -0700 (PDT)","Hello,

The attachment has been updated to include Sandy's new assistant.  Thanks!

(See attached file: i2 Board of Directors.xls)

Barbette Joy Watts
Executive Assistant to David Becker
One i2 Place, 3rd Floor
469-357-3460 (Direct)
469-357-6769 (Fax)
barbette_watts@i2.com
 - i2 Board of Directors.xls","[('Board', 2), ('Fax', 1), ('file', 1)]"
"""Jim Leverton"" <info@conceptdesigninc.com>",Plasma & Banner Towers,"Wed, 11 Oct 2000 07:27:00 -0700 (PDT)","CDPI PLASMA SCREEN TOWERS & BANNER TOWERS

 




MARKETING BULLETIN d CONCEPT DESIGN PRODUCTIONS, INC.

It?s brand new, it?s curved and it?s rentable!

Designer Series Plasma Screen and Banner Towers from Concept Design 
Productions. 

Accommodates 33"" to 50"" screens. ?Bose speaker positions, brochure holders, 
laptop interactive platform, and DVD VCR housing included.

8? tall plasma screen towers and 10? or 12? tall banner towers with 3 
double-sided banner positions.

Modular, customizable, stylish, and affordable.

See a picture and schematics by logging on to http://www.conceptdesigninc.com 
under ""New Product"" for details.

Complete 56 page CDPI product rental catalog available by calling 
1-800-846-0717 or 626-932-0082 in California. ?Full production design 
services available
 ","[('CDPI', 2), ('tall', 2), ('available', 2)]"
Rod Williams,Thanks for the Memories!,"Fri, 25 Aug 2000 00:34:00 -0700 (PDT)","Mr. Lay, I am a 59 1/2 year old employee that last saw you at my 25 year 
award celebration in Houston in 1993.  Since that time, I have had some 
health problems that are leading me to retire a little early from Enron, on 
August 31, 2000. 

 I did not want to leave Enron's active employment until I had the 
opportunity to express to you my gratitude.  I have been with Northern 
Natural Gas, InterNorth, HNG-InterNorth and Enron for thirty two years and 1 
month.  I can tell you without hesitation, that since you took over our 
company in the late 80's, it has been the most challenging and exciting time 
that I have spent in my work life.  I had opportunities that I never dreamt 
of and I am grateful for the opportunities that I have had.   I started on 
August 1, 1968 as a maintenance helper at the South Omaha location of 
Northern Natural Gas.  I was a field technician, an O&M Supervisor, a 
District Manager, and presently the Manager of the Operations Communications 
Center in Omaha.

I have admired and respected you since the first time we met in Des Moines, 
Iowa, shortly after the merger.  Without your guidance and direction and the 
many employee based programs you have initiated, I would not be where I am 
financially today.  I am looking forward to retirement without concern for me 
or my family's future.  The ESOP program was so very important to all of the 
employees, and the many other programs like our ""options"", variable pay 
(bonus) and others make Enron a leader throughout the world in employee 
satisfaction, and we have the awards to prove it.

The employees that I have worked with in these 32 years are the bright spots 
for Enron, not only in the past but also into the future.  We have done a 
wonderful job of getting the best of the best.

I hope that I will be able to thank you in person and shake your hand once 
more, perhaps at a future shareholders meeting.

Sincerely,

Rod Williams


","[('I', 20), ('Enron', 5), ('future', 3)]"
BROWN_MARY_JO@LILLY.COM,**PRESS RELEASE**Issued by Orchid BioSciences**Agreement w/Lilly,"Wed, 11 Oct 2000 10:04:00 -0700 (PDT)","This press release was issued by Orchid Biosciences, Inc. at 7:00 a.m.
today.

(See attached file: Orchid Agreement.doc)



 - Orchid Agreement.doc","[('Orchid', 3), ('See', 1), ('file', 1)]"
Western Coal Council -- Linda Bernson <lindaeb@westcoal.org>,Western Coal Advisory - Autumn 2000,"Wed, 11 Oct 2000 09:41:00 -0700 (PDT)","As a benefit of membership in the Western Coal Council, we are sending the 
latest issue of the Western Coal Advisory in .pdf format. You'll need Adobe 
Acrobat Reader to view this file.? This program is available at no charge at 
Acrobat Reader. 

You will be receiving a printed version in about 10 days. 

We hope you enjoy receiving this copy in advance, and thank you for your 
continued support of the Western Coal Council. 

Janet Gellici, Executive Director 
www.westerncoalcouncil.org 

If you do not wish to receive this newsletter in the future, simply reply to 
this message with ""REMOVE"" in the subject area, and we will remove your 
e-mail address from future transmissions.? Thank You!
 - autumn2000.pdf","[('Western', 3), ('Coal', 3), ('You', 3)]"
